sentences per paragraph,words per paragraph,) present,- present,: or ; present,? present,' present,sentence length standard deviation,consecutive sentence length difference,number short sentences,number long sentences,contains - although,contains - However,contains - but,contains - because,contains - this,contains - others or researchers,contains numbers,contains two times more capitals,check - et
0.2631578947368421,0.4761904761904762,1.0,1.0,1.0,0.0,0.0,0.14200776730775844,0.14925373134328357,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5789473684210527,0.6302521008403361,1.0,1.0,1.0,0.0,0.0,0.06623898828205746,0.1044776119402985,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.3684210526315789,0.6330532212885154,1.0,1.0,0.0,0.0,0.0,0.08275846381950912,0.11940298507462686,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.47368421052631576,0.8039215686274509,1.0,1.0,0.0,0.0,0.0,0.13028120966930753,0.208955223880597,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.3157894736842105,0.43137254901960786,1.0,1.0,0.0,0.0,1.0,0.08031647567935181,0.07462686567164178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3157894736842105,0.48179271708683474,1.0,1.0,0.0,0.0,1.0,0.08306526444584054,0.07835820895522388,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.3157894736842105,0.40896358543417366,1.0,1.0,0.0,0.0,0.0,0.058686340715928445,0.05223880597014925,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.5263157894736843,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.07493637790360176,0.13059701492537312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.631578947368421,0.6722689075630252,1.0,1.0,0.0,0.0,0.0,0.07424329876017022,0.10820895522388059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2631578947368421,0.6582633053221288,1.0,1.0,0.0,0.0,1.0,0.09268031468729615,0.08208955223880597,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.47368421052631576,0.6162464985994397,1.0,1.0,0.0,0.0,0.0,0.05809651327656007,0.0708955223880597,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.42105263157894735,0.5126050420168067,1.0,1.0,0.0,0.0,1.0,0.053327365766001,0.07835820895522388,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.3684210526315789,0.4369747899159664,1.0,1.0,1.0,0.0,0.0,0.06642225338629124,0.07462686567164178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.15789473684210525,0.4061624649859944,1.0,1.0,1.0,0.0,0.0,0.11251532120964845,0.08208955223880597,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.15789473684210525,0.25490196078431376,1.0,0.0,0.0,0.0,0.0,0.06325416652230058,0.04477611940298507,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.6842105263157894,0.7927170868347339,1.0,1.0,1.0,0.0,1.0,0.08566640641571971,0.08582089552238806,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
